"Group","Plugin","Plugin Name","Family","Severity","IP Address","Protocol","Port","MAC Address","DNS Name","NetBIOS Name","Plugin Text","First Discovered","Last Observed","Vuln Publication Date","Patch Publication Date","Plugin Publication Date"
"","35291","SSL Certificate Signed Using Weak Hashing Algorithm","General","Medium","EXAMPLE","TCP","443","","","SERVERHOSTEX025","N/A","Dec 9, 2019 17:13:04 EST","Dec 9, 2019 17:13:04 EST","Aug 18, 2004 12:00:00 EDT","N/A","Jan 5, 2009 12:00:00 EST"
"","42873","SSL Medium Strength Cipher Suites Supported (SWEET32)","General","Medium","EXAMPLE","TCP","443","","","SERVERHOSTEX025","N/A","Dec 9, 2019 17:13:04 EST","Dec 9, 2019 17:13:04 EST","Aug 24, 2016 12:00:00 EDT","N/A","Nov 23, 2009 12:00:00 EST"
"","51192","SSL Certificate Cannot Be Trusted","General","Medium","EXAMPLE","TCP","443","","","SERVERHOSTEX025","N/A","Dec 9, 2019 17:13:04 EST","Dec 9, 2019 17:13:04 EST","N/A","N/A","Dec 15, 2010 12:00:00 EST"
"","57582","SSL Self-Signed Certificate","General","Medium","EXAMPLE","TCP","443","","","SERVERHOSTEX025","N/A","Dec 9, 2019 17:13:04 EST","Dec 9, 2019 17:13:04 EST","N/A","N/A","Jan 17, 2012 12:00:00 EST"
"","69551","SSL Certificate Chain Contains RSA Keys Less Than 2048 bits","General","Low","EXAMPLE","TCP","443","","","SERVERHOSTEX025","N/A","Dec 9, 2019 17:13:04 EST","Dec 9, 2019 17:13:04 EST","N/A","N/A","Sep 3, 2013 12:00:00 EDT"
"","71049","SSH Weak MAC Algorithms Enabled","Misc.","Low","EXAMPLE","TCP","22","","","SERVERHOSTEX025","N/A","Oct 15, 2019 05:10:45 EDT","Dec 9, 2019 17:13:04 EST","N/A","N/A","Nov 22, 2013 12:00:00 EST"
"","83875","SSL/TLS Diffie-Hellman Modulus <= 1024 Bits (Logjam)","Misc.","Low","EXAMPLE","TCP","443","","","SERVERHOSTEX025","N/A","Dec 9, 2019 17:13:04 EST","Dec 9, 2019 17:13:04 EST","May 20, 2015 12:00:00 EDT","N/A","May 28, 2015 12:00:00 EDT"
"","97861","Network Time Protocol (NTP) Mode 6 Scanner","Misc.","Medium","EXAMPLE","UDP","123","","","SERVERHOSTEX025","N/A","Nov 25, 2019 17:12:47 EST","Dec 9, 2019 17:13:04 EST","N/A","N/A","Mar 21, 2017 12:00:00 EDT"
"","42263","Unencrypted Telnet Server","Misc.","Medium","EXAMPLE","TCP","9131","","","SERVERHOSTEX025","N/A","Dec 2, 2019 19:10:23 EST","Dec 9, 2019 17:13:04 EST","N/A","N/A","Oct 27, 2009 12:00:00 EDT"
"","71049","SSH Weak MAC Algorithms Enabled","Misc.","Low","EXAMPLE","TCP","22","","","SERVERHOSTEX025","N/A","Dec 9, 2019 17:13:04 EST","Dec 9, 2019 17:13:04 EST","N/A","N/A","Nov 22, 2013 12:00:00 EST"
"","97861","Network Time Protocol (NTP) Mode 6 Scanner","Misc.","Medium","EXAMPLE","UDP","123","","","SERVERHOSTEX025","N/A","Dec 2, 2019 19:10:23 EST","Dec 9, 2019 17:13:04 EST","N/A","N/A","Mar 21, 2017 12:00:00 EDT"
"","35291","SSL Certificate Signed Using Weak Hashing Algorithm","General","Medium","EXAMPLE","TCP","443","","","SERVERHOSTEX025","N/A","Dec 9, 2019 17:13:04 EST","Dec 9, 2019 17:13:04 EST","Aug 18, 2004 12:00:00 EDT","N/A","Jan 5, 2009 12:00:00 EST"
"","42873","SSL Medium Strength Cipher Suites Supported (SWEET32)","General","Medium","EXAMPLE","TCP","443","","","SERVERHOSTEX025","N/A","Dec 9, 2019 17:13:04 EST","Dec 9, 2019 17:13:04 EST","Aug 24, 2016 12:00:00 EDT","N/A","Nov 23, 2009 12:00:00 EST"
"","51192","SSL Certificate Cannot Be Trusted","General","Medium","EXAMPLE","TCP","443","","","SERVERHOSTEX025","N/A","Dec 9, 2019 17:13:04 EST","Dec 9, 2019 17:13:04 EST","N/A","N/A","Dec 15, 2010 12:00:00 EST"
"","57582","SSL Self-Signed Certificate","General","Medium","EXAMPLE","TCP","443","","","SERVERHOSTEX025","N/A","Dec 9, 2019 17:13:04 EST","Dec 9, 2019 17:13:04 EST","N/A","N/A","Jan 17, 2012 12:00:00 EST"
"","69551","SSL Certificate Chain Contains RSA Keys Less Than 2048 bits","General","Low","EXAMPLE","TCP","443","","","SERVERHOSTEX025","N/A","Dec 9, 2019 17:13:04 EST","Dec 9, 2019 17:13:04 EST","N/A","N/A","Sep 3, 2013 12:00:00 EDT"
"","71049","SSH Weak MAC Algorithms Enabled","Misc.","Low","EXAMPLE","TCP","22","","","SERVERHOSTEX025","N/A","Sep 24, 2019 07:02:31 EDT","Dec 9, 2019 17:13:04 EST","N/A","N/A","Nov 22, 2013 12:00:00 EST"
"","83875","SSL/TLS Diffie-Hellman Modulus <= 1024 Bits (Logjam)","Misc.","Low","EXAMPLE","TCP","443","","","SERVERHOSTEX024","N/A","Dec 9, 2019 17:13:04 EST","Dec 9, 2019 17:13:04 EST","May 20, 2015 12:00:00 EDT","N/A","May 28, 2015 12:00:00 EDT"
"","97861","Network Time Protocol (NTP) Mode 6 Scanner","Misc.","Medium","EXAMPLE","UDP","123","","","SERVERHOSTEX024","N/A","Dec 9, 2019 17:13:04 EST","Dec 9, 2019 17:13:04 EST","N/A","N/A","Mar 21, 2017 12:00:00 EDT"
"","70658","SSH Server CBC Mode Ciphers Enabled","Misc.","Low","EXAMPLE","TCP","22","","","SERVERHOSTEX024","N/A","Aug 21, 2019 02:55:39 EDT","Dec 9, 2019 17:13:04 EST","Nov 24, 2008 12:00:00 EST","N/A","Oct 28, 2013 12:00:00 EDT"
"","71049","SSH Weak MAC Algorithms Enabled","Misc.","Low","EXAMPLE","TCP","22","","","SERVERHOSTEX024","N/A","Aug 21, 2019 02:55:39 EDT","Dec 9, 2019 17:13:04 EST","N/A","N/A","Nov 22, 2013 12:00:00 EST"
"","97861","Network Time Protocol (NTP) Mode 6 Scanner","Misc.","Medium","EXAMPLE","UDP","123","","","SERVERHOSTEX024","N/A","Dec 9, 2019 17:13:04 EST","Dec 9, 2019 17:13:04 EST","N/A","N/A","Mar 21, 2017 12:00:00 EDT"
"","70658","SSH Server CBC Mode Ciphers Enabled","Misc.","Low","EXAMPLE","TCP","22","","","SERVERHOSTEX024","N/A","Aug 21, 2019 02:55:39 EDT","Dec 9, 2019 17:13:04 EST","Nov 24, 2008 12:00:00 EST","N/A","Oct 28, 2013 12:00:00 EDT"
"","71049","SSH Weak MAC Algorithms Enabled","Misc.","Low","EXAMPLE","TCP","22","","","SERVERHOSTEX024","N/A","Aug 21, 2019 02:55:39 EDT","Dec 9, 2019 17:13:04 EST","N/A","N/A","Nov 22, 2013 12:00:00 EST"
"","97861","Network Time Protocol (NTP) Mode 6 Scanner","Misc.","Medium","EXAMPLE","UDP","123","","","SERVERHOSTEX024","N/A","Dec 9, 2019 17:13:04 EST","Dec 9, 2019 17:13:04 EST","N/A","N/A","Mar 21, 2017 12:00:00 EDT"
"","70658","SSH Server CBC Mode Ciphers Enabled","Misc.","Low","EXAMPLE","TCP","22","","","SERVERHOSTEX024","N/A","Aug 21, 2019 02:55:39 EDT","Dec 9, 2019 17:13:04 EST","Nov 24, 2008 12:00:00 EST","N/A","Oct 28, 2013 12:00:00 EDT"
"","71049","SSH Weak MAC Algorithms Enabled","Misc.","Low","EXAMPLE","TCP","22","","","SERVERHOSTEX024","N/A","Aug 21, 2019 02:55:39 EDT","Dec 9, 2019 17:13:04 EST","N/A","N/A","Nov 22, 2013 12:00:00 EST"
"ACTIVE DIRECTORY","97861","Network Time Protocol (NTP) Mode 6 Scanner","Misc.","Medium","EXAMPLE","UDP","123","","","SERVERHOSTEX008","N/A","Dec 9, 2019 17:13:04 EST","Dec 9, 2019 17:13:04 EST","N/A","N/A","Mar 21, 2017 12:00:00 EDT"
"ACTIVE DIRECTORY","70658","SSH Server CBC Mode Ciphers Enabled","Misc.","Low","EXAMPLE","TCP","22","","","SERVERHOSTEX008","N/A","Aug 21, 2019 02:55:39 EDT","Dec 9, 2019 17:13:04 EST","Nov 24, 2008 12:00:00 EST","N/A","Oct 28, 2013 12:00:00 EDT"
"ACTIVE DIRECTORY","71049","SSH Weak MAC Algorithms Enabled","Misc.","Low","EXAMPLE","TCP","22","","","SERVERHOSTEX008","N/A","Aug 21, 2019 02:55:39 EDT","Dec 9, 2019 17:13:04 EST","N/A","N/A","Nov 22, 2013 12:00:00 EST"
"ACTIVE DIRECTORY","97861","Network Time Protocol (NTP) Mode 6 Scanner","Misc.","Medium","EXAMPLE","UDP","123","","","SERVERHOSTEX008","N/A","Dec 9, 2019 17:13:04 EST","Dec 9, 2019 17:13:04 EST","N/A","N/A","Mar 21, 2017 12:00:00 EDT"
"ACTIVE DIRECTORY","70658","SSH Server CBC Mode Ciphers Enabled","Misc.","Low","EXAMPLE","TCP","22","","","SERVERHOSTEX008","N/A","Aug 21, 2019 02:55:39 EDT","Dec 9, 2019 17:13:04 EST","Nov 24, 2008 12:00:00 EST","N/A","Oct 28, 2013 12:00:00 EDT"
"ACTIVE DIRECTORY","71049","SSH Weak MAC Algorithms Enabled","Misc.","Low","EXAMPLE","TCP","22","","","SERVERHOSTEX008","N/A","Aug 21, 2019 02:55:39 EDT","Dec 9, 2019 17:13:04 EST","N/A","N/A","Nov 22, 2013 12:00:00 EST"
"ACTIVE DIRECTORY","97861","Network Time Protocol (NTP) Mode 6 Scanner","Misc.","Medium","EXAMPLE","UDP","123","","","SERVERHOSTEX008","N/A","Dec 9, 2019 17:13:04 EST","Dec 9, 2019 17:13:04 EST","N/A","N/A","Mar 21, 2017 12:00:00 EDT"
