1,,"CKLFILE","2019-12-15"
101,,"CKLFILE","2019-12-15"
201,,"CKLFILE","2019-12-15"
301,,"CKLFILE","2019-12-15"
401,,"","2019-12-15"
501,"SQL","TESTCKL","2019-12-15"
601,"SQL","TESTCKL","2019-12-15"
701,"SQL","TESTCKL","2019-12-15"
801,"SQL","TESTCKL","2019-12-15"
901,"SQL","TESTCKL","2019-12-15"
1001,"SQL","TESTCKL","2019-12-15"
1002,"SHAREPOINT","SERVERHOSTEX017","2019-12-15"
1003,"SHAREPOINT","SERVERHOSTEX018","2019-12-15"
1004,,"SERVERHOSTEX019","2019-12-15"
1005,"SPECTRUM","SERVERHOSTEX010","2019-12-15"
1006,"SPECTRUM","SERVERHOSTEX011","2019-12-15"
1007,"SPECTRUM","SERVERHOSTEX012","2019-12-15"
1008,"SQL","SERVERHOSTEX013","2019-12-15"
1009,"SQL","SERVERHOSTEX014","2019-12-15"
1010,"SQL","SERVERHOSTEX015","2019-12-15"
1011,"SHAREPOINT","SERVERHOSTEX016","2019-12-15"
1012,"DFS SERVER","SERVERHOSTEX006","2019-12-15"
1013,"DFS SERVER","SERVERHOSTEX007","2019-12-15"
1014,"ACTIVE DIRECTORY","SERVERHOSTEX008","2019-12-15"
1015,"ACTIVE DIRECTORY","SERVERHOSTEX009","2019-12-15"
1016,"SHAREPOINT","SERVERHOSTEX020","2019-12-15"
1017,"SPLUNK","SERVERHOSTEX021","2019-12-15"
1018,"SPLUNK","SERVERHOSTEX022","2019-12-15"
1019,"DHCP SERVER","SERVERHOSTEX001","2019-12-15"
1020,"","SERVERHOSTEX023","2019-12-15"
1021,"DHCP SERVER","SERVERHOSTEX002","2019-12-15"
1022,"","SERVERHOSTEX024","2019-12-15"
1023,"DHCP SERVER","SERVERHOSTEX003","2019-12-15"
1024,"","SERVERHOSTEX025","2019-12-15"
1025,"DFS SERVER","SERVERHOSTEX004","2019-12-15"
1026,"DFS SERVER","SERVERHOSTEX005","2019-12-15"
1101,"SQL","TESTCKL","2019-12-15"
1201,"SHAREPOINT","SERVERHOSTEX016","2019-12-18"
1301,"SQL","TESTCKL","2019-12-18"
1401,"SQL","TESTCKL","2019-12-18"
1402,,"CKLFILE","2019-12-18"
1501,"SHAREPOINT","SERVERHOSTEX017","2019-12-18"
1502,"SHAREPOINT","SERVERHOSTEX018","2019-12-18"
1503,,"SERVERHOSTEX019","2019-12-18"
1504,"SPECTRUM","SERVERHOSTEX010","2019-12-18"
1505,"SPECTRUM","SERVERHOSTEX011","2019-12-18"
1506,"SPECTRUM","SERVERHOSTEX012","2019-12-18"
1507,"SQL","SERVERHOSTEX013","2019-12-18"
1508,"SQL","SERVERHOSTEX014","2019-12-18"
1509,"SQL","SERVERHOSTEX015","2019-12-18"
1510,"SHAREPOINT","SERVERHOSTEX016","2019-12-18"
1511,"DFS SERVER","SERVERHOSTEX006","2019-12-18"
1512,"DFS SERVER","SERVERHOSTEX007","2019-12-18"
1513,"ACTIVE DIRECTORY","SERVERHOSTEX008","2019-12-18"
1514,"ACTIVE DIRECTORY","SERVERHOSTEX009","2019-12-18"
1515,"SHAREPOINT","SERVERHOSTEX020","2019-12-18"
1516,"SPLUNK","SERVERHOSTEX021","2019-12-18"
1517,"SPLUNK","SERVERHOSTEX022","2019-12-18"
1518,"DHCP SERVER","SERVERHOSTEX001","2019-12-18"
1519,"","SERVERHOSTEX023","2019-12-18"
1520,"DHCP SERVER","SERVERHOSTEX002","2019-12-18"
1521,"","SERVERHOSTEX024","2019-12-18"
1522,"DHCP SERVER","SERVERHOSTEX003","2019-12-18"
1523,"","SERVERHOSTEX025","2019-12-18"
1524,"DFS SERVER","SERVERHOSTEX004","2019-12-18"
1525,"DFS SERVER","SERVERHOSTEX005","2019-12-18"
1601,"DHCP SERVER","SERVERHOSTEX002","2019-12-22"
1602,"DHCP SERVER","SERVERHOSTEX003","2019-12-22"
1603,"DFS SERVER","SERVERHOSTEX004","2019-12-22"
1604,"DFS SERVER","SERVERHOSTEX005","2019-12-22"
1701,"ACTIVE DIRECTORY","SERVERHOSTEX008","2019-12-22"
1702,"ACTIVE DIRECTORY","SERVERHOSTEX008","2019-12-22"
1802,"DFS SERVER","SERVERHOSTEX004","2019-12-23"
1803,"DHCP SERVER","SERVERHOSTEX001","2019-12-23"
1804,"DHCP SERVER","SERVERHOSTEX002","2019-12-23"
1805,"DHCP SERVER","SERVERHOSTEX003","2019-12-23"
1902,"DFS SERVER","SERVERHOSTEX004","2019-12-23"
1903,"DHCP SERVER","SERVERHOSTEX001","2019-12-23"
1904,"DHCP SERVER","SERVERHOSTEX002","2019-12-23"
1905,"DHCP SERVER","SERVERHOSTEX003","2019-12-23"
2002,"DFS SERVER","SERVERHOSTEX004","2019-12-23"
2003,"DHCP SERVER","SERVERHOSTEX001","2019-12-23"
2004,"DHCP SERVER","SERVERHOSTEX002","2019-12-23"
2005,"DHCP SERVER","SERVERHOSTEX003","2019-12-23"
2102,"","SERVERHOSTEX024","2019-12-26"
2103,"","SERVERHOSTEX025","2019-12-26"
