"CUST_ID","GROUP_ORG","PLUGIN","PLUGIN_NAME","FAMILY","SEVERITY","IP_ADDRESS","PROTOCOL","PORT","MAC_ADDRESS","DNS_NAME","NETBIOS_NAME","PLUGIN_TEXT","FIRST_DISCOVERED","LAST_OBSERVED","VULN_PUBLICATION_DATE","PATCH_PUBLICATION_DATE","PLUGIN_PUBLICATION_DATE","UPLOAD_DATE"
"901","NULL","Plugin","Plugin Name","Family","Severity","IP Address","Protocol","Port","MAC Address","DNS Name","NetBIOS Name","Plugin Text","First Discovered","Last Observed","Vuln Publication Date","Plugin","Plugin","2019-12-21 14:57:15.349"
"902","NULL","35291","SSL Certificate Signed Using Weak Hashing Algorithm","General","Medium","EXAMPLE","TCP","443",,,"ServerHostEX025","N/A","""Dec 9"," 2019 17:13:04 EST""","""Dec 9","35291","35291","2019-12-21 14:57:15.351"
"903","NULL","42873","SSL Medium Strength Cipher Suites Supported (SWEET32)","General","Medium","EXAMPLE","TCP","443",,,"ServerHostEX025","N/A","""Dec 9"," 2019 17:13:04 EST""","""Dec 9","42873","42873","2019-12-21 14:57:15.351"
"904","NULL","51192","SSL Certificate Cannot Be Trusted","General","Medium","EXAMPLE","TCP","443",,,"ServerHostEX025","N/A","""Dec 9"," 2019 17:13:04 EST""","""Dec 9","51192","51192","2019-12-21 14:57:15.351"
"905","NULL","57582","SSL Self-Signed Certificate","General","Medium","EXAMPLE","TCP","443",,,"ServerHostEX025","N/A","""Dec 9"," 2019 17:13:04 EST""","""Dec 9","57582","57582","2019-12-21 14:57:15.352"
"906","NULL","69551","SSL Certificate Chain Contains RSA Keys Less Than 2048 bits","General","Low","EXAMPLE","TCP","443",,,"ServerHostEX025","N/A","""Dec 9"," 2019 17:13:04 EST""","""Dec 9","69551","69551","2019-12-21 14:57:15.352"
"907","NULL","71049","SSH Weak MAC Algorithms Enabled","Misc.","Low","EXAMPLE","TCP","22",,,"ServerHostEX025","N/A","""Oct 15"," 2019 05:10:45 EDT""","""Dec 9","71049","71049","2019-12-21 14:57:15.352"
"908","NULL","83875","SSL/TLS Diffie-Hellman Modulus <= 1024 Bits (Logjam)","Misc.","Low","EXAMPLE","TCP","443",,,"ServerHostEX025","N/A","""Dec 9"," 2019 17:13:04 EST""","""Dec 9","83875","83875","2019-12-21 14:57:15.352"
"909","NULL","97861","Network Time Protocol (NTP) Mode 6 Scanner","Misc.","Medium","EXAMPLE","UDP","123",,,"ServerHostEX025","N/A","""Nov 25"," 2019 17:12:47 EST""","""Dec 9","97861","97861","2019-12-21 14:57:15.353"
"910","NULL","42263","Unencrypted Telnet Server","Misc.","Medium","EXAMPLE","TCP","9131",,,"ServerHostEX025","N/A","""Dec 2"," 2019 19:10:23 EST""","""Dec 9","42263","42263","2019-12-21 14:57:15.353"
"911","NULL","71049","SSH Weak MAC Algorithms Enabled","Misc.","Low","EXAMPLE","TCP","22",,,"ServerHostEX025","N/A","""Dec 9"," 2019 17:13:04 EST""","""Dec 9","71049","71049","2019-12-21 14:57:15.353"
"912","NULL","97861","Network Time Protocol (NTP) Mode 6 Scanner","Misc.","Medium","EXAMPLE","UDP","123",,,"ServerHostEX025","N/A","""Dec 2"," 2019 19:10:23 EST""","""Dec 9","97861","97861","2019-12-21 14:57:15.354"
"913","NULL","35291","SSL Certificate Signed Using Weak Hashing Algorithm","General","Medium","EXAMPLE","TCP","443",,,"ServerHostEX025","N/A","""Dec 9"," 2019 17:13:04 EST""","""Dec 9","35291","35291","2019-12-21 14:57:15.354"
"914","NULL","42873","SSL Medium Strength Cipher Suites Supported (SWEET32)","General","Medium","EXAMPLE","TCP","443",,,"ServerHostEX025","N/A","""Dec 9"," 2019 17:13:04 EST""","""Dec 9","42873","42873","2019-12-21 14:57:15.354"
"915","NULL","51192","SSL Certificate Cannot Be Trusted","General","Medium","EXAMPLE","TCP","443",,,"ServerHostEX025","N/A","""Dec 9"," 2019 17:13:04 EST""","""Dec 9","51192","51192","2019-12-21 14:57:15.354"
"916","NULL","57582","SSL Self-Signed Certificate","General","Medium","EXAMPLE","TCP","443",,,"ServerHostEX025","N/A","""Dec 9"," 2019 17:13:04 EST""","""Dec 9","57582","57582","2019-12-21 14:57:15.355"
"917","NULL","69551","SSL Certificate Chain Contains RSA Keys Less Than 2048 bits","General","Low","EXAMPLE","TCP","443",,,"ServerHostEX025","N/A","""Dec 9"," 2019 17:13:04 EST""","""Dec 9","69551","69551","2019-12-21 14:57:15.355"
"918","NULL","71049","SSH Weak MAC Algorithms Enabled","Misc.","Low","EXAMPLE","TCP","22",,,"ServerHostEX025","N/A","""Sep 24"," 2019 07:02:31 EDT""","""Dec 9","71049","71049","2019-12-21 14:57:15.355"
"919","NULL","83875","SSL/TLS Diffie-Hellman Modulus <= 1024 Bits (Logjam)","Misc.","Low","EXAMPLE","TCP","443",,,"ServerHostEX024","N/A","""Dec 9"," 2019 17:13:04 EST""","""Dec 9","83875","83875","2019-12-21 14:57:15.356"
"920","NULL","97861","Network Time Protocol (NTP) Mode 6 Scanner","Misc.","Medium","EXAMPLE","UDP","123",,,"ServerHostEX024","N/A","""Dec 9"," 2019 17:13:04 EST""","""Dec 9","97861","97861","2019-12-21 14:57:15.356"
"921","NULL","70658","SSH Server CBC Mode Ciphers Enabled","Misc.","Low","EXAMPLE","TCP","22",,,"ServerHostEX024","N/A","""Aug 21"," 2019 02:55:39 EDT""","""Dec 9","70658","70658","2019-12-21 14:57:15.356"
"922","NULL","71049","SSH Weak MAC Algorithms Enabled","Misc.","Low","EXAMPLE","TCP","22",,,"ServerHostEX024","N/A","""Aug 21"," 2019 02:55:39 EDT""","""Dec 9","71049","71049","2019-12-21 14:57:15.357"
