"GroupID","Hostname","Configuration","Title"
"V-1074","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-1097","ZNC121A0SCAP06","Ongoing","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-1098","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-2372","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-39331","ZNC121A0SCAP06","Ongoing","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-3343","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-21973","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-22692","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-2374","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-34974","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-36712","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-36718","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-1073","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-1081","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-7002","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-26070","ZNC121A0SCAP06","Ongoing","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-32282","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-1152","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-3344","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-3337","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-26283","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-1093","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
